Code;Description
E768;Sonstige Stoerungen des Glykosaminoglykan-Stoffwechsels
E769;Stoerung des Glykosaminoglykan-Stoffwechsels, nicht naeher bezeichnet
E77;Stoerungen des Glykoproteinstoffwechsels
E770;Defekte der posttranslationalen Modifikation lysosomaler Enzyme
E771;Defekte beim Glykoproteinabbau
E778;Sonstige Stoerungen des Glykoproteinstoffwechsels
E779;Stoerung des Glykoproteinstoffwechsels, nicht naeher bezeichnet
E78;Stoerungen des Lipoproteinstoffwechsels und sonstige Lipidaemien
E780;Reine Hypercholesterinaemie
E781;Reine Hypertriglyzeridaemie
E782;Gemischte Hyperlipidaemie
E783;Hyperchylomikronaemie
E784;Sonstige Hyperlipidaemien
E785;Hyperlipidaemie, nicht naeher bezeichnet
E786;Lipoproteinmangel
E788;Sonstige Stoerungen des Lipoproteinstoffwechsels
E789;Stoerung des Lipoproteinstoffwechsels, nicht naeher bezeichnet
E79;Stoerungen des Purin- und Pyrimidinstoffwechsels
E790;Hyperurikaemie ohne Zeichen von entzuendlicher Arthritis oder tophischer Gicht
E791;Lesch-Nyhan-Syndrom
E798;Sonstige Stoerungen des Purin- und Pyrimidinstoffwechsels
E799;Stoerung des Purin- und Pyrimidinstoffwechsels, nicht naeher bezeichnet
E80;Stoerungen des Porphyrin- und Bilirubinstoffwechsels
E800;Hereditaere erythropoetische Porphyrie
E801;Porphyria cutanea tarda
E802;Sonstige Porphyrie
E803;Defekte von Katalase und Peroxidase
E804;Gilbert-Meulengracht-Syndrom
E805;Crigler-Najjar-Syndrom
E806;Sonstige Stoerungen des Bilirubinstoffwechsels
E807;Stoerung des Bilirubinstoffwechsels, nicht naeher bezeichnet
E83;Stoerungen des Mineralstoffwechsels
E830;Stoerungen des Kupferstoffwechsels
E831;Stoerungen des Eisenstoffwechsels
E832;Stoerungen des Zinkstoffwechsels
E833;Stoerungen des Phosphorstoffwechsels und der Phosphatase
E8330;Familiaere hypophosphataemische Rachitis
E8331;Vitamin-D-abhaengige Rachitis
E8338;Sonstige Stoerungen des Phosphorstoffwechsels und der Phosphatase
E8339;Stoerungen des Phosphorstoffwechsels und der Phosphatase, nicht naeher bezeichnet
E834;Stoerungen des Magnesiumstoffwechsels
E835;Stoerungen des Kalziumstoffwechsels
E8350;Kalziphylaxie
E8358;Sonstige Stoerungen des Kalziumstoffwechsels
E8359;Stoerungen des Kalziumstoffwechsels, nicht naeher bezeichnet
E838;Sonstige Stoerungen des Mineralstoffwechsels
E839;Stoerung des Mineralstoffwechsels, nicht naeher bezeichnet
E84;Zystische Fibrose
E840;Zystische Fibrose mit Lungenmanifestationen
E841;Zystische Fibrose mit Darmmanifestationen
E848;Zystische Fibrose mit sonstigen Manifestationen
E8480;Zystische Fibrose mit Lungen- und Darm-Manifestation
E8487;Zystische Fibrose mit sonstigen multiplen Manifestationen
E8488;Zystische Fibrose mit sonstigen Manifestationen
E849;Zystische Fibrose, nicht naeher bezeichnet
E85;Amyloidose
E850;Nichtneuropathische heredofamiliaere Amyloidose
E851;Neuropathische heredofamiliaere Amyloidose
E852;Heredofamiliaere Amyloidose, nicht naeher bezeichnet
E853;Sekundaere systemische Amyloidose
E854;Organbegrenzte Amyloidose
E858;Sonstige Amyloidose
E859;Amyloidose, nicht naeher bezeichnet
E86;Volumenmangel
E87;Sonstige Stoerungen des Wasser- und Elektrolythaushaltes sowie des Saeure-Basen-Gleichgewichts
E870;Hyperosmolalitaet und Hypernatriaemie
E871;Hypoosmolalitaet und Hyponatriaemie
E872;Azidose
E873;Alkalose
E874;Gemischte Stoerung des Saeure-Basen-Gleichgewichts
E875;Hyperkaliaemie
E876;Hypokaliaemie
E877;Fluessigkeitsueberschuss
E878;Sonstige Stoerungen des Wasser- und Elektrolythaushaltes, anderenorts nicht klassifiziert
E88;Sonstige Stoffwechselstoerungen
E880;Stoerungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert
E881;Lipodystrophie, anderenorts nicht klassifiziert
E882;Lipomatose, anderenorts nicht klassifiziert
E8820;Lipoedem, Stadium I
E8821;Lipoedem, Stadium II
E8822;Lipoedem, Stadium III
E8828;Sonstiges oder nicht naeher bezeichnetes Lipoedem
E8829;Sonstige Lipomatose, anderenorts nicht klassifiziert
E883;Tumorlyse-Syndrom
E888;Sonstige naeher bezeichnete Stoffwechselstoerungen
E889;Stoffwechselstoerung, nicht naeher bezeichnet
E89;Endokrine und Stoffwechselstoerungen nach medizinischen Ma�nahmen, anderenorts nicht klassifiziert
E890;Hypothyreose nach medizinischen Ma�nahmen
E891;Hypoinsulinaemie nach medizinischen Ma�nahmen
E892;Hypoparathyreoidismus nach medizinischen Ma�nahmen
E893;Hypopituitarismus nach medizinischen Ma�nahmen
E894;Ovarialinsuffizienz nach medizinischen Ma�nahmen
E895;Testikulaere Unterfunktion nach medizinischen Ma�nahmen
E896;Nebennierenrinden- (Nebennierenmark-) Unterfunktion nach medizinischen Ma�nahmen
E898;Sonstige endokrine oder Stoffwechselstoerungen nach medizinischen Ma�nahmen
E899;Endokrine oder Stoffwechselstoerung nach medizinischen Ma�nahmen, nicht naeher bezeichnet
E90;Ernaehrungs- und Stoffwechselstoerungen bei anderenorts klassifizierten Krankheiten
F00;Demenz bei Alzheimer-Krankheit
F000;Demenz bei Alzheimer-Krankheit, mit fruehem Beginn (Typ 2)
F001;Demenz bei Alzheimer-Krankheit, mit spaetem Beginn (Typ 1)
F002;Demenz bei Alzheimer-Krankheit, atypische oder gemischte Form
F009;Demenz bei Alzheimer-Krankheit, nicht naeher bezeichnet
F01;Vaskulaere Demenz
F010;Vaskulaere Demenz mit akutem Beginn
F011;Multiinfarkt-Demenz
F012;Subkortikale vaskulaere Demenz
F013;Gemischte kortikale und subkortikale vaskulaere Demenz
F018;Sonstige vaskulaere Demenz
F019;Vaskulaere Demenz, nicht naeher bezeichnet
F02;Demenz bei anderenorts klassifizierten Krankheiten
F020;Demenz bei Pick-Krankheit
F021;Demenz bei Creutzfeldt-Jakob-Krankheit
F022;Demenz bei Chorea Huntington
F023;Demenz bei primaerem Parkinson-Syndrom
F024;Demenz bei HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
F028;Demenz bei anderenorts klassifizierten Krankheitsbildern
F03;Nicht naeher bezeichnete Demenz
F04;Organisches amnestisches Syndrom, nicht durch Alkohol oder andere psychotrope Substanzen bedingt
F05;Delir, nicht durch Alkohol oder andere psychotrope Substanzen bedingt
F050;Delir ohne Demenz
F051;Delir bei Demenz
F058;Sonstige Formen des Delirs
F059;Delir, nicht naeher bezeichnet
F06;Andere psychische Stoerungen aufgrund einer Schaedigung oder Funktionsstoerung des Gehirns oder einer koerperlichen Krankheit
F060;Organische Halluzinose
F061;Organische katatone Stoerung
F062;Organische wahnhafte [schizophreniforme] Stoerung
F063;Organische affektive Stoerungen
F064;Organische Angststoerung
F065;Organische dissoziative Stoerung
F066;Organische emotional labile [asthenische] Stoerung
F067;Leichte kognitive Stoerung
F068;Sonstige naeher bezeichnete organische psychische Stoerungen aufgrund einer Schaedigung oder Funktionsstoerung des Gehirns oder einer koerperlichen Krankheit
F069;Nicht naeher bezeichnete organische psychische Stoerung aufgrund einer Schaedigung oder Funktionsstoerung des Gehirns oder einer koerperlichen Krankheit
F07;Persoenlichkeits- und Verhaltensstoerung aufgrund einer Krankheit, Schaedigung oder Funktionsstoerung des Gehirns
F070;Organische Persoenlichkeitsstoerung
F071;Postenzephalitisches Syndrom
F072;Organisches Psychosyndrom nach Schaedelhirntrauma
F078;Sonstige organische Persoenlichkeits- und Verhaltensstoerungen aufgrund einer Krankheit, Schaedigung oder Funktionsstoerung des Gehirns
F079;Nicht naeher bezeichnete organische Persoenlichkeits- und Verhaltensstoerung aufgrund einer Krankheit, Schaedigung oder Funktionsstoerung des Gehirns
F09;Nicht naeher bezeichnete organische oder symptomatische psychische Stoerung
F10;Psychische und Verhaltensstoerungen durch Alkohol
F100;Psychische und Verhaltensstoerungen durch Alkohol: Akute Intoxikation [akuter Rausch]
F101;Psychische und Verhaltensstoerungen durch Alkohol: Schaedlicher Gebrauch
F102;Psychische und Verhaltensstoerungen durch Alkohol: Abhaengigkeitssyndrom
F103;Psychische und Verhaltensstoerungen durch Alkohol: Entzugssyndrom
F104;Psychische und Verhaltensstoerungen durch Alkohol: Entzugssyndrom mit Delir
F105;Psychische und Verhaltensstoerungen durch Alkohol: Psychotische Stoerung
F106;Psychische und Verhaltensstoerungen durch Alkohol: Amnestisches Syndrom
F107;Psychische und Verhaltensstoerungen durch Alkohol: Restzustand und verzoegert auftretende psychotische Stoerung
F108;Psychische und Verhaltensstoerungen durch Alkohol: Sonstige psychische und Verhaltensstoerungen
F109;Psychische und Verhaltensstoerungen durch Alkohol: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F11;Psychische und Verhaltensstoerungen durch Opioide
F110;Psychische und Verhaltensstoerungen durch Opioide: Akute Intoxikation [akuter Rausch]
F111;Psychische und Verhaltensstoerungen durch Opioide: Schaedlicher Gebrauch
F112;Psychische und Verhaltensstoerungen durch Opioide: Abhaengigkeitssyndrom
F113;Psychische und Verhaltensstoerungen durch Opioide: Entzugssyndrom
F114;Psychische und Verhaltensstoerungen durch Opioide: Entzugssyndrom mit Delir
F115;Psychische und Verhaltensstoerungen durch Opioide: Psychotische Stoerung
F116;Psychische und Verhaltensstoerungen durch Opioide: Amnestisches Syndrom
F117;Psychische und Verhaltensstoerungen durch Opioide: Restzustand und verzoegert auftretende psychotische Stoerung
F118;Psychische und Verhaltensstoerungen durch Opioide: Sonstige psychische und Verhaltensstoerungen
F119;Psychische und Verhaltensstoerungen durch Opioide: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F12;Psychische und Verhaltensstoerungen durch Cannabinoide
F120;Psychische und Verhaltensstoerungen durch Cannabinoide: Akute Intoxikation [akuter Rausch]
F121;Psychische und Verhaltensstoerungen durch Cannabinoide: Schaedlicher Gebrauch
F122;Psychische und Verhaltensstoerungen durch Cannabinoide: Abhaengigkeitssyndrom
F123;Psychische und Verhaltensstoerungen durch Cannabinoide: Entzugssyndrom
F124;Psychische und Verhaltensstoerungen durch Cannabinoide: Entzugssyndrom mit Delir
F125;Psychische und Verhaltensstoerungen durch Cannabinoide: Psychotische Stoerung
F126;Psychische und Verhaltensstoerungen durch Cannabinoide: Amnestisches Syndrom
F127;Psychische und Verhaltensstoerungen durch Cannabinoide: Restzustand und verzoegert auftretende psychotische Stoerung
F128;Psychische und Verhaltensstoerungen durch Cannabinoide: Sonstige psychische und Verhaltensstoerungen
F129;Psychische und Verhaltensstoerungen durch Cannabinoide: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F13;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika
F130;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Akute Intoxikation [akuter Rausch]
F131;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Schaedlicher Gebrauch
F132;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Abhaengigkeitssyndrom
F133;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Entzugssyndrom
F134;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Entzugssyndrom mit Delir
F135;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Psychotische Stoerung
F136;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Amnestisches Syndrom
F137;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Restzustand und verzoegert auftretende psychotische Stoerung
F138;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Sonstige psychische und Verhaltensstoerungen
F139;Psychische und Verhaltensstoerungen durch Sedativa oder Hypnotika: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F14;Psychische und Verhaltensstoerungen durch Kokain
F140;Psychische und Verhaltensstoerungen durch Kokain: Akute Intoxikation [akuter Rausch]
F141;Psychische und Verhaltensstoerungen durch Kokain: Schaedlicher Gebrauch
F142;Psychische und Verhaltensstoerungen durch Kokain: Abhaengigkeitssyndrom
F143;Psychische und Verhaltensstoerungen durch Kokain: Entzugssyndrom
F144;Psychische und Verhaltensstoerungen durch Kokain: Entzugssyndrom mit Delir
F145;Psychische und Verhaltensstoerungen durch Kokain: Psychotische Stoerung
F146;Psychische und Verhaltensstoerungen durch Kokain: Amnestisches Syndrom
F147;Psychische und Verhaltensstoerungen durch Kokain: Restzustand und verzoegert auftretende psychotische Stoerung
F148;Psychische und Verhaltensstoerungen durch Kokain: Sonstige psychische und Verhaltensstoerungen
F149;Psychische und Verhaltensstoerungen durch Kokain: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F15;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein
F150;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Akute Intoxikation [akuter Rausch]
F151;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Schaedlicher Gebrauch
F152;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Abhaengigkeitssyndrom
F153;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Entzugssyndrom
F154;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Entzugssyndrom mit Delir
F155;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Psychotische Stoerung
F156;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Amnestisches Syndrom
F157;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Restzustand und verzoegert auftretende psychotische Stoerung
F158;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Sonstige psychische und Verhaltensstoerungen
F159;Psychische und Verhaltensstoerungen durch andere Stimulanzien, einschlie�lich Koffein: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F16;Psychische und Verhaltensstoerungen durch Halluzinogene
F160;Psychische und Verhaltensstoerungen durch Halluzinogene: Akute Intoxikation [akuter Rausch]
F161;Psychische und Verhaltensstoerungen durch Halluzinogene: Schaedlicher Gebrauch
F162;Psychische und Verhaltensstoerungen durch Halluzinogene: Abhaengigkeitssyndrom
F163;Psychische und Verhaltensstoerungen durch Halluzinogene: Entzugssyndrom
F164;Psychische und Verhaltensstoerungen durch Halluzinogene: Entzugssyndrom mit Delir
F165;Psychische und Verhaltensstoerungen durch Halluzinogene: Psychotische Stoerung
F166;Psychische und Verhaltensstoerungen durch Halluzinogene: Amnestisches Syndrom
F167;Psychische und Verhaltensstoerungen durch Halluzinogene: Restzustand und verzoegert auftretende psychotische Stoerung
F168;Psychische und Verhaltensstoerungen durch Halluzinogene: Sonstige psychische und Verhaltensstoerungen
F169;Psychische und Verhaltensstoerungen durch Halluzinogene: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F17;Psychische und Verhaltensstoerungen durch Tabak
F170;Psychische und Verhaltensstoerungen durch Tabak: Akute Intoxikation [akuter Rausch]
F171;Psychische und Verhaltensstoerungen durch Tabak: Schaedlicher Gebrauch
F172;Psychische und Verhaltensstoerungen durch Tabak: Abhaengigkeitssyndrom
F173;Psychische und Verhaltensstoerungen durch Tabak: Entzugssyndrom
F174;Psychische und Verhaltensstoerungen durch Tabak: Entzugssyndrom mit Delir
F175;Psychische und Verhaltensstoerungen durch Tabak: Psychotische Stoerung
F176;Psychische und Verhaltensstoerungen durch Tabak: Amnestisches Syndrom
F177;Psychische und Verhaltensstoerungen durch Tabak: Restzustand und verzoegert auftretende psychotische Stoerung
F178;Psychische und Verhaltensstoerungen durch Tabak: Sonstige psychische und Verhaltensstoerungen
F179;Psychische und Verhaltensstoerungen durch Tabak: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F18;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel
F180;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Akute Intoxikation [akuter Rausch]
F181;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Schaedlicher Gebrauch
F182;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Abhaengigkeitssyndrom
F183;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Entzugssyndrom
F184;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Entzugssyndrom mit Delir
F185;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Psychotische Stoerung
F186;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Amnestisches Syndrom
F187;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Restzustand und verzoegert auftretende psychotische Stoerung
F188;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Sonstige psychische und Verhaltensstoerungen
F189;Psychische und Verhaltensstoerungen durch fluechtige Loesungsmittel: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F19;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen
F190;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Akute Intoxikation [akuter Rausch]
F191;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Schaedlicher Gebrauch
F192;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Abhaengigkeitssyndrom
F193;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Entzugssyndrom
F194;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Entzugssyndrom mit Delir
F195;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Psychotische Stoerung
F196;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Amnestisches Syndrom
F197;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Restzustand und verzoegert auftretende psychotische Stoerung
F198;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Sonstige psychische und Verhaltensstoerungen
F199;Psychische und Verhaltensstoerungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Nicht naeher bezeichnete psychische und Verhaltensstoerung
F20;Schizophrenie
F200;Paranoide Schizophrenie
F201;Hebephrene Schizophrenie
F202;Katatone Schizophrenie
F203;Undifferenzierte Schizophrenie
F204;Postschizophrene Depression
F205;Schizophrenes Residuum
F206;Schizophrenia simplex
F208;Sonstige Schizophrenie
F209;Schizophrenie, nicht naeher bezeichnet
F21;Schizotype Stoerung
F22;Anhaltende wahnhafte Stoerungen
F220;Wahnhafte Stoerung
F228;Sonstige anhaltende wahnhafte Stoerungen
F229;Anhaltende wahnhafte Stoerung, nicht naeher bezeichnet
F23;Akute voruebergehende psychotische Stoerungen
F230;Akute polymorphe psychotische Stoerung ohne Symptome einer Schizophrenie
F231;Akute polymorphe psychotische Stoerung mit Symptomen einer Schizophrenie
F232;Akute schizophreniforme psychotische Stoerung
F233;Sonstige akute vorwiegend wahnhafte psychotische Stoerungen
F238;Sonstige akute voruebergehende psychotische Stoerungen
F239;Akute voruebergehende psychotische Stoerung, nicht naeher bezeichnet
F24;Induzierte wahnhafte Stoerung
F25;Schizoaffektive Stoerungen
F250;Schizoaffektive Stoerung, gegenwaertig manisch
F251;Schizoaffektive Stoerung, gegenwaertig depressiv
F252;Gemischte schizoaffektive Stoerung
F258;Sonstige schizoaffektive Stoerungen
F259;Schizoaffektive Stoerung, nicht naeher bezeichnet
F28;Sonstige nichtorganische psychotische Stoerungen
F29;Nicht naeher bezeichnete nichtorganische Psychose
F30;Manische Episode
F300;Hypomanie
F301;Manie ohne psychotische Symptome
F302;Manie mit psychotischen Symptomen
F308;Sonstige manische Episoden
F309;Manische Episode, nicht naeher bezeichnet
F31;Bipolare affektive Stoerung
F310;Bipolare affektive Stoerung, gegenwaertig hypomanische Episode
F311;Bipolare affektive Stoerung, gegenwaertig manische Episode ohne psychotische Symptome
F312;Bipolare affektive Stoerung, gegenwaertig manische Episode mit psychotischen Symptomen
F313;Bipolare affektive Stoerung, gegenwaertig leichte oder mittelgradige depressive Episode
F314;Bipolare affektive Stoerung, gegenwaertig schwere depressive Episode ohne psychotische Symptome
F315;Bipolare affektive Stoerung, gegenwaertig schwere depressive Episode mit psychotischen Symptomen
F316;Bipolare affektive Stoerung, gegenwaertig gemischte Episode
F317;Bipolare affektive Stoerung, gegenwaertig remittiert
F318;Sonstige bipolare affektive Stoerungen
F319;Bipolare affektive Stoerung, nicht naeher bezeichnet
F32;Depressive Episode
F320;Leichte depressive Episode
F321;Mittelgradige depressive Episode
F322;Schwere depressive Episode ohne psychotische Symptome
F323;Schwere depressive Episode mit psychotischen Symptomen
F328;Sonstige depressive Episoden
F329;Depressive Episode, nicht naeher bezeichnet
F33;Rezidivierende depressive Stoerung
F330;Rezidivierende depressive Stoerung, gegenwaertig leichte Episode
F331;Rezidivierende depressive Stoerung, gegenwaertig mittelgradige Episode
F332;Rezidivierende depressive Stoerung, gegenwaertig schwere Episode ohne psychotische Symptome
F333;Rezidivierende depressive Stoerung, gegenwaertig schwere Episode mit psychotischen Symptomen
F334;Rezidivierende depressive Stoerung, gegenwaertig remittiert
F338;Sonstige rezidivierende depressive Stoerungen
F339;Rezidivierende depressive Stoerung, nicht naeher bezeichnet
F34;Anhaltende affektive Stoerungen
F340;Zyklothymia
F341;Dysthymia
F348;Sonstige anhaltende affektive Stoerungen
F349;Anhaltende affektive Stoerung, nicht naeher bezeichnet
F38;Andere affektive Stoerungen
F380;Andere einzelne affektive Stoerungen
F381;Andere rezidivierende affektive Stoerungen
F388;Sonstige naeher bezeichnete affektive Stoerungen
F39;Nicht naeher bezeichnete affektive Stoerung
F40;Phobische Stoerungen
F400;Agoraphobie
F4000;Agoraphobie: Ohne Angabe einer Panikstoerung
F4001;Agoraphobie: Mit Panikstoerung
F401;Soziale Phobien
F402;Spezifische (isolierte) Phobien
F408;Sonstige phobische Stoerungen
F409;Phobische Stoerung, nicht naeher bezeichnet
F41;Andere Angststoerungen
F410;Panikstoerung [episodisch paroxysmale Angst]
F411;Generalisierte Angststoerung
F412;Angst und depressive Stoerung, gemischt
F413;Andere gemischte Angststoerungen
F418;Sonstige spezifische Angststoerungen
F419;Angststoerung, nicht naeher bezeichnet
F42;Zwangsstoerung
F420;Vorwiegend Zwangsgedanken oder Gruebelzwang
F421;Vorwiegend Zwangshandlungen [Zwangsrituale]
F422;Zwangsgedanken und -handlungen, gemischt
F428;Sonstige Zwangsstoerungen
F429;Zwangsstoerung, nicht naeher bezeichnet
F43;Reaktionen auf schwere Belastungen und Anpassungsstoerungen
F430;Akute Belastungsreaktion
F431;Posttraumatische Belastungsstoerung
F432;Anpassungsstoerungen
F438;Sonstige Reaktionen auf schwere Belastung
F439;Reaktion auf schwere Belastung, nicht naeher bezeichnet
F44;Dissoziative Stoerungen [Konversionsstoerungen]
F440;Dissoziative Amnesie
F441;Dissoziative Fugue
F442;Dissoziativer Stupor
F443;Trance- und Besessenheitszustaende
F444;Dissoziative Bewegungsstoerungen
F445;Dissoziative Krampfanfaelle
F446;Dissoziative Sensibilitaets- und Empfindungsstoerungen
F447;Dissoziative Stoerungen [Konversionsstoerungen], gemischt
F448;Sonstige dissoziative Stoerungen [Konversionsstoerungen]
F4480;Ganser-Syndrom
F4481;Multiple Persoenlichkeit(sstoerung)
F4482;Transitorische dissoziative Stoerungen [Konversionsstoerungen] in Kindheit und Jugend
F4488;Sonstige dissoziative Stoerungen [Konversionsstoerungen]
F449;Dissoziative Stoerung [Konversionsstoerung], nicht naeher bezeichnet
F45;Somatoforme Stoerungen
F450;Somatisierungsstoerung
F451;Undifferenzierte Somatisierungsstoerung
F452;Hypochondrische Stoerung
F453;Somatoforme autonome Funktionsstoerung
F4530;Somatoforme autonome Funktionsstoerung: Herz und Kreislaufsystem
F4531;Somatoforme autonome Funktionsstoerung: Oberes Verdauungssystem
F4532;Somatoforme autonome Funktionsstoerung: Unteres Verdauungssystem
F4533;Somatoforme autonome Funktionsstoerung: Atmungssystem
F4534;Somatoforme autonome Funktionsstoerung: Urogenitalsystem
F4537;Somatoforme autonome Funktionsstoerung: Mehrere Organe und Systeme
F4538;Somatoforme autonome Funktionsstoerung: Sonstige Organe und Systeme
F4539;Somatoforme autonome Funktionsstoerung: Nicht naeher bezeichnetes Organ oder System
F454;Anhaltende Schmerzstoerung
F4540;Anhaltende somatoforme Schmerzstoerung
F4541;Chronische Schmerzstoerung mit somatischen und psychischen Faktoren
F458;Sonstige somatoforme Stoerungen
F459;Somatoforme Stoerung, nicht naeher bezeichnet
F48;Andere neurotische Stoerungen
F480;Neurasthenie
F481;Depersonalisations- und Derealisationssyndrom
F488;Sonstige neurotische Stoerungen
F489;Neurotische Stoerung, nicht naeher bezeichnet
F50;Essstoerungen
F500;Anorexia nervosa
F5000;Anorexia nervosa, restriktiver Typ
F5001;Anorexia nervosa, aktiver Typ
F5008;Sonstige und nicht naeher bezeichnete Anorexia nervosa
F501;Atypische Anorexia nervosa
F502;Bulimia nervosa
F503;Atypische Bulimia nervosa
F504;Essattacken bei anderen psychischen Stoerungen
F505;Erbrechen bei anderen psychischen Stoerungen
F508;Sonstige Essstoerungen
F509;Essstoerung, nicht naeher bezeichnet
F51;Nichtorganische Schlafstoerungen
F510;Nichtorganische Insomnie
F511;Nichtorganische Hypersomnie
F512;Nichtorganische Stoerung des Schlaf-Wach-Rhythmus
F513;Schlafwandeln [Somnambulismus]
F514;Pavor nocturnus
F515;Albtraeume [Angsttraeume]
F518;Sonstige nichtorganische Schlafstoerungen
F519;Nichtorganische Schlafstoerung, nicht naeher bezeichnet
F52;Sexuelle Funktionsstoerungen, nicht verursacht durch eine organische Stoerung oder Krankheit
F520;Mangel oder Verlust von sexuellem Verlangen
F521;Sexuelle Aversion und mangelnde sexuelle Befriedigung
F522;Versagen genitaler Reaktionen
F523;Orgasmusstoerung
F524;Ejaculatio praecox
F525;Nichtorganischer Vaginismus
F526;Nichtorganische Dyspareunie
F527;Gesteigertes sexuelles Verlangen
F528;Sonstige sexuelle Funktionsstoerungen, nicht verursacht durch eine organische Stoerung oder Krankheit
F529;Nicht naeher bezeichnete sexuelle Funktionsstoerung, nicht verursacht durch eine organische Stoerung oder Krankheit
F53;Psychische oder Verhaltensstoerungen im Wochenbett, anderenorts nicht klassifiziert
F530;Leichte psychische und Verhaltensstoerungen im Wochenbett, anderenorts nicht klassifiziert
F531;Schwere psychische und Verhaltensstoerungen im Wochenbett, anderenorts nicht klassifiziert
F538;Sonstige psychische und Verhaltensstoerungen im Wochenbett, anderenorts nicht klassifiziert
F539;Psychische Stoerung im Wochenbett, nicht naeher bezeichnet
F54;Psychologische Faktoren oder Verhaltensfaktoren bei anderenorts klassifizierten Krankheiten
F55;Schaedlicher Gebrauch von nichtabhaengigkeitserzeugenden Substanzen
F550;Schaedlicher Gebrauch von nichtabhaengigkeitserzeugenden Substanzen: Antidepressiva
F551;Schaedlicher Gebrauch von nichtabhaengigkeitserzeugenden Substanzen: Laxanzien
F552;Schaedlicher Gebrauch von nichtabhaengigkeitserzeugenden Substanzen: Analgetika
F553;Schaedlicher Gebrauch von nichtabhaengigkeitserzeugenden Substanzen: Antazida
F554;Schaedlicher Gebrauch von nichtabhaengigkeitserzeugenden Substanzen: Vitamine
F555;Schaedlicher Gebrauch von nichtabhaengigkeitserzeugenden Substanzen: Steroide und Hormone
